ADM_CD,네일숍_2022,미용실_2022,분식전문점_2022,애완동물_2022,한식음식점_2022,양식음식점_2022,일식음식점_2022,중식음식점_2022,치킨전문점_2022,커피-음료_2022,패스트푸드점_2022,제과점_2022,편의점_2022,호프-간이주점_2022
11110730.0,68.0,370.0,141.0,88.0,721.0,70.0,92.0,69.0,36.0,20.0,39.0,69.0,84.0,69.0
11110740.0,68.0,370.0,141.0,88.0,721.0,70.0,92.0,69.0,36.0,20.0,39.0,69.0,84.0,69.0
11110760.0,68.0,370.0,141.0,88.0,721.0,70.0,92.0,69.0,36.0,20.0,39.0,69.0,84.0,69.0
11110770.0,68.0,370.0,141.0,88.0,721.0,70.0,92.0,69.0,36.0,20.0,39.0,69.0,84.0,69.0
11110780.0,32.0,133.0,78.0,39.0,232.0,27.0,22.0,22.0,25.0,7.0,31.0,32.0,28.0,0.0
11110790.0,33.0,153.0,68.0,42.0,319.0,36.0,40.0,23.0,20.0,12.0,24.0,34.0,43.0,4.0
11120510.0,10.0,62.0,12.0,14.0,132.0,10.0,10.0,11.0,7.0,1.0,3.0,13.0,17.0,5.0
11120520.0,13.0,143.0,42.0,23.0,250.0,14.0,13.0,12.0,11.0,2.0,8.0,18.0,21.0,5.0
11120550.0,23.0,142.0,38.0,29.0,334.0,37.0,36.0,13.0,13.0,6.0,7.0,14.0,26.0,13.0
11120560.0,23.0,142.0,38.0,29.0,334.0,37.0,36.0,13.0,13.0,6.0,7.0,14.0,26.0,13.0
11120570.0,9.0,55.0,13.0,5.0,55.0,5.0,4.0,3.0,6.0,0.0,4.0,13.0,10.0,0.0
11120580.0,14.0,80.0,30.0,20.0,211.0,19.0,16.0,9.0,4.0,4.0,13.0,18.0,18.0,10.0
11120590.0,22.0,175.0,43.0,44.0,388.0,22.0,33.0,22.0,20.0,2.0,11.0,24.0,28.0,12.0
11120600.0,22.0,175.0,43.0,44.0,388.0,22.0,33.0,22.0,20.0,2.0,11.0,24.0,28.0,12.0
11120650.0,9.0,103.0,25.0,13.0,113.0,9.0,11.0,11.0,7.0,1.0,4.0,17.0,16.0,3.0
11120660.0,9.0,103.0,25.0,13.0,113.0,9.0,11.0,11.0,7.0,1.0,4.0,17.0,16.0,3.0
11120670.0,2.0,35.0,5.0,5.0,80.0,5.0,6.0,7.0,6.0,1.0,3.0,8.0,4.0,3.0
11120680.0,0.0,13.0,12.0,3.0,46.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0
11120710.0,15.0,70.0,24.0,22.0,161.0,12.0,14.0,14.0,6.0,2.0,7.0,30.0,14.0,1.0
11120720.0,13.0,143.0,42.0,23.0,250.0,14.0,13.0,12.0,11.0,2.0,8.0,18.0,21.0,5.0
11120730.0,22.0,175.0,43.0,44.0,388.0,22.0,33.0,22.0,20.0,2.0,11.0,24.0,28.0,12.0
11120740.0,10.0,135.0,27.0,22.0,203.0,11.0,13.0,15.0,10.0,1.0,6.0,17.0,15.0,7.0
11130520.0,5.0,28.0,16.0,7.0,88.0,13.0,4.0,1.0,4.0,0.0,0.0,5.0,4.0,4.0
11130620.0,14.0,91.0,46.0,25.0,244.0,23.0,20.0,11.0,10.0,6.0,11.0,17.0,28.0,26.0
11130640.0,14.0,91.0,46.0,25.0,244.0,23.0,20.0,11.0,10.0,6.0,11.0,17.0,28.0,26.0
11130650.0,14.0,91.0,46.0,25.0,244.0,23.0,20.0,11.0,10.0,6.0,11.0,17.0,28.0,26.0
11130660.0,8.0,75.0,41.0,17.0,169.0,31.0,9.0,14.0,7.0,2.0,8.0,11.0,31.0,12.0
11130680.0,8.0,75.0,41.0,17.0,169.0,31.0,9.0,14.0,7.0,2.0,8.0,11.0,31.0,12.0
11130690.0,11.0,77.0,33.0,20.0,207.0,21.0,14.0,18.0,9.0,7.0,8.0,15.0,24.0,32.0
11130700.0,11.0,77.0,33.0,20.0,207.0,21.0,14.0,18.0,9.0,7.0,8.0,15.0,24.0,32.0
11130710.0,8.0,106.0,24.0,17.0,137.0,23.0,11.0,8.0,13.0,4.0,3.0,9.0,27.0,7.0
11130720.0,8.0,106.0,24.0,17.0,137.0,23.0,11.0,8.0,13.0,4.0,3.0,9.0,27.0,7.0
11130730.0,11.0,45.0,57.0,10.0,230.0,37.0,21.0,14.0,5.0,7.0,5.0,11.0,28.0,15.0
11130740.0,6.0,35.0,24.0,9.0,52.0,12.0,6.0,4.0,2.0,2.0,2.0,6.0,15.0,5.0
11130750.0,33.0,137.0,96.0,13.0,419.0,192.0,64.0,51.0,8.0,24.0,27.0,27.0,38.0,66.0
11130760.0,7.0,61.0,32.0,18.0,141.0,53.0,22.0,15.0,7.0,12.0,5.0,18.0,25.0,3.0
11140590.0,21.0,129.0,84.0,34.0,424.0,59.0,55.0,26.0,11.0,37.0,21.0,31.0,34.0,2.0
11140600.0,18.0,95.0,42.0,25.0,213.0,35.0,21.0,15.0,9.0,12.0,15.0,20.0,22.0,4.0
11140610.0,13.0,76.0,44.0,23.0,233.0,31.0,37.0,16.0,6.0,21.0,13.0,12.0,19.0,3.0
11140630.0,11.0,85.0,30.0,16.0,152.0,27.0,17.0,9.0,8.0,12.0,13.0,20.0,18.0,4.0
11140660.0,104.0,304.0,123.0,47.0,692.0,252.0,173.0,66.0,15.0,227.0,28.0,61.0,50.0,26.0
11140680.0,22.0,65.0,13.0,8.0,153.0,49.0,34.0,13.0,4.0,34.0,7.0,20.0,13.0,5.0
11140690.0,21.0,118.0,38.0,28.0,207.0,50.0,13.0,10.0,7.0,13.0,14.0,29.0,21.0,4.0
11140700.0,21.0,118.0,38.0,28.0,207.0,50.0,13.0,10.0,7.0,13.0,14.0,29.0,21.0,4.0
11140710.0,34.0,69.0,15.0,5.0,142.0,85.0,57.0,30.0,4.0,26.0,5.0,44.0,14.0,5.0
11140720.0,7.0,64.0,27.0,12.0,147.0,19.0,31.0,16.0,7.0,16.0,12.0,22.0,25.0,2.0
11140730.0,11.0,74.0,32.0,16.0,166.0,20.0,32.0,17.0,9.0,16.0,14.0,24.0,28.0,2.0
11140740.0,8.0,38.0,30.0,14.0,249.0,33.0,60.0,24.0,8.0,24.0,10.0,17.0,19.0,1.0
11140750.0,10.0,51.0,42.0,12.0,208.0,32.0,28.0,18.0,3.0,18.0,8.0,13.0,14.0,1.0
11140760.0,21.0,76.0,19.0,9.0,128.0,48.0,25.0,17.0,5.0,45.0,3.0,15.0,11.0,6.0
11140770.0,29.0,172.0,93.0,41.0,472.0,56.0,71.0,35.0,10.0,38.0,25.0,30.0,30.0,4.0
11140780.0,17.0,125.0,60.0,33.0,306.0,35.0,44.0,21.0,9.0,27.0,17.0,16.0,26.0,3.0
11150510.0,69.0,296.0,95.0,66.0,429.0,55.0,53.0,51.0,31.0,29.0,22.0,65.0,63.0,10.0
11150520.0,69.0,296.0,95.0,66.0,429.0,55.0,53.0,51.0,31.0,29.0,22.0,65.0,63.0,10.0
11150530.0,69.0,296.0,95.0,66.0,429.0,55.0,53.0,51.0,31.0,29.0,22.0,65.0,63.0,10.0
11150540.0,69.0,296.0,95.0,66.0,429.0,55.0,53.0,51.0,31.0,29.0,22.0,65.0,63.0,10.0
11150570.0,36.0,260.0,74.0,44.0,424.0,11.0,24.0,25.0,35.0,14.0,16.0,26.0,66.0,23.0
11150580.0,36.0,260.0,74.0,44.0,424.0,11.0,24.0,25.0,35.0,14.0,16.0,26.0,66.0,23.0
11150590.0,36.0,260.0,74.0,44.0,424.0,11.0,24.0,25.0,35.0,14.0,16.0,26.0,66.0,23.0
11150600.0,36.0,260.0,74.0,44.0,424.0,11.0,24.0,25.0,35.0,14.0,16.0,26.0,66.0,23.0
11150610.0,36.0,260.0,74.0,44.0,424.0,11.0,24.0,25.0,35.0,14.0,16.0,26.0,66.0,23.0
11150620.0,36.0,260.0,74.0,44.0,424.0,11.0,24.0,25.0,35.0,14.0,16.0,26.0,66.0,23.0
11150630.0,36.0,260.0,74.0,44.0,424.0,11.0,24.0,25.0,35.0,14.0,16.0,26.0,66.0,23.0
11150640.0,62.0,320.0,87.0,57.0,405.0,30.0,41.0,45.0,40.0,16.0,28.0,54.0,70.0,14.0
11150650.0,62.0,320.0,87.0,57.0,405.0,30.0,41.0,45.0,40.0,16.0,28.0,54.0,70.0,14.0
11150660.0,62.0,320.0,87.0,57.0,405.0,30.0,41.0,45.0,40.0,16.0,28.0,54.0,70.0,14.0
11150690.0,62.0,320.0,87.0,57.0,405.0,30.0,41.0,45.0,40.0,16.0,28.0,54.0,70.0,14.0
11150700.0,62.0,320.0,87.0,57.0,405.0,30.0,41.0,45.0,40.0,16.0,28.0,54.0,70.0,14.0
11150710.0,69.0,296.0,95.0,66.0,429.0,55.0,53.0,51.0,31.0,29.0,22.0,65.0,63.0,10.0
11150720.0,62.0,320.0,87.0,57.0,405.0,30.0,41.0,45.0,40.0,16.0,28.0,54.0,70.0,14.0
11160510.0,15.0,115.0,38.0,30.0,247.0,39.0,17.0,18.0,17.0,1.0,15.0,21.0,27.0,20.0
11160520.0,29.0,118.0,67.0,27.0,333.0,66.0,42.0,28.0,28.0,1.0,25.0,26.0,44.0,33.0
11160530.0,29.0,118.0,67.0,27.0,333.0,66.0,42.0,28.0,28.0,1.0,25.0,26.0,44.0,33.0
11160540.0,29.0,118.0,67.0,27.0,333.0,66.0,42.0,28.0,28.0,1.0,25.0,26.0,44.0,33.0
11160550.0,78.0,443.0,143.0,77.0,1119.0,153.0,109.0,64.0,68.0,3.0,58.0,52.0,91.0,216.0
11160570.0,78.0,443.0,143.0,77.0,1119.0,153.0,109.0,64.0,68.0,3.0,58.0,52.0,91.0,216.0
11160580.0,78.0,443.0,143.0,77.0,1119.0,153.0,109.0,64.0,68.0,3.0,58.0,52.0,91.0,216.0
11160590.0,78.0,443.0,143.0,77.0,1119.0,153.0,109.0,64.0,68.0,3.0,58.0,52.0,91.0,216.0
11160610.0,78.0,443.0,143.0,77.0,1119.0,153.0,109.0,64.0,68.0,3.0,58.0,52.0,91.0,216.0
11160630.0,78.0,443.0,143.0,77.0,1119.0,153.0,109.0,64.0,68.0,3.0,58.0,52.0,91.0,216.0
11160640.0,96.0,236.0,60.0,65.0,877.0,199.0,131.0,75.0,16.0,1.0,23.0,56.0,64.0,37.0
11160650.0,4.0,61.0,14.0,17.0,129.0,7.0,5.0,10.0,12.0,0.0,7.0,10.0,15.0,6.0
11160660.0,4.0,61.0,14.0,17.0,129.0,7.0,5.0,10.0,12.0,0.0,7.0,10.0,15.0,6.0
11160670.0,109.0,269.0,69.0,71.0,919.0,230.0,145.0,74.0,20.0,2.0,27.0,68.0,67.0,43.0
11160690.0,116.0,369.0,114.0,76.0,1304.0,258.0,154.0,100.0,50.0,4.0,46.0,91.0,104.0,117.0
11160700.0,116.0,369.0,114.0,76.0,1299.0,258.0,154.0,100.0,50.0,4.0,45.0,91.0,103.0,117.0
11160710.0,21.0,155.0,53.0,24.0,368.0,52.0,21.0,25.0,39.0,2.0,17.0,38.0,32.0,58.0
11160720.0,21.0,154.0,52.0,24.0,366.0,52.0,21.0,25.0,39.0,2.0,17.0,38.0,32.0,58.0
11160730.0,78.0,443.0,143.0,77.0,1119.0,153.0,109.0,64.0,68.0,3.0,58.0,52.0,91.0,216.0
11160740.0,95.0,535.0,165.0,100.0,1272.0,184.0,126.0,72.0,84.0,4.0,69.0,71.0,107.0,227.0
11170510.0,13.0,41.0,22.0,15.0,127.0,10.0,14.0,13.0,15.0,0.0,13.0,19.0,17.0,1.0
11170520.0,64.0,268.0,171.0,32.0,990.0,81.0,93.0,193.0,56.0,13.0,51.0,37.0,88.0,10.0
11170540.0,64.0,268.0,171.0,32.0,990.0,81.0,93.0,193.0,56.0,13.0,51.0,37.0,88.0,10.0
11170550.0,64.0,268.0,171.0,32.0,990.0,81.0,93.0,193.0,56.0,13.0,51.0,37.0,88.0,10.0
11170560.0,64.0,268.0,171.0,32.0,990.0,81.0,93.0,193.0,56.0,13.0,51.0,37.0,88.0,10.0
11170610.0,13.0,105.0,67.0,21.0,208.0,11.0,9.0,20.0,20.0,7.0,13.0,15.0,33.0,6.0
11170620.0,13.0,105.0,67.0,21.0,208.0,11.0,9.0,20.0,20.0,7.0,13.0,15.0,33.0,6.0
11170640.0,27.0,182.0,52.0,28.0,233.0,11.0,8.0,25.0,24.0,1.0,17.0,20.0,35.0,4.0
11170650.0,27.0,182.0,52.0,28.0,233.0,11.0,8.0,25.0,24.0,1.0,17.0,20.0,35.0,4.0
11170670.0,15.0,77.0,29.0,13.0,162.0,9.0,12.0,14.0,17.0,0.0,10.0,10.0,28.0,1.0
11170690.0,2.0,33.0,13.0,5.0,65.0,0.0,2.0,5.0,8.0,1.0,4.0,6.0,16.0,0.0
11170700.0,4.0,38.0,15.0,2.0,72.0,0.0,3.0,56.0,4.0,1.0,3.0,0.0,6.0,2.0
11170710.0,64.0,268.0,171.0,32.0,990.0,81.0,93.0,193.0,56.0,13.0,51.0,37.0,88.0,10.0
11170720.0,27.0,182.0,52.0,28.0,233.0,11.0,8.0,25.0,24.0,1.0,17.0,20.0,35.0,4.0
11170730.0,18.0,89.0,33.0,19.0,173.0,9.0,13.0,15.0,19.0,1.0,11.0,13.0,31.0,1.0
11170740.0,2.0,11.0,3.0,6.0,13.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,11.0,0.0
11180510.0,14.0,54.0,54.0,12.0,545.0,44.0,46.0,64.0,13.0,15.0,18.0,19.0,84.0,16.0
11180520.0,30.0,241.0,85.0,42.0,522.0,35.0,17.0,80.0,32.0,10.0,15.0,28.0,70.0,56.0
11180530.0,30.0,241.0,85.0,42.0,522.0,35.0,17.0,80.0,32.0,10.0,15.0,28.0,70.0,56.0
11180540.0,30.0,241.0,85.0,42.0,522.0,35.0,17.0,80.0,32.0,10.0,15.0,28.0,70.0,56.0
11180550.0,30.0,241.0,85.0,42.0,522.0,35.0,17.0,80.0,32.0,10.0,15.0,28.0,70.0,56.0
11180570.0,26.0,211.0,73.0,34.0,417.0,17.0,15.0,43.0,33.0,4.0,18.0,28.0,53.0,48.0
11180580.0,26.0,211.0,73.0,34.0,417.0,17.0,15.0,43.0,33.0,4.0,18.0,28.0,53.0,48.0
11180590.0,26.0,211.0,73.0,34.0,417.0,17.0,15.0,43.0,33.0,4.0,18.0,28.0,53.0,48.0
11180600.0,26.0,211.0,73.0,34.0,417.0,17.0,15.0,43.0,33.0,4.0,18.0,28.0,53.0,48.0
11180610.0,26.0,211.0,73.0,34.0,417.0,17.0,15.0,43.0,33.0,4.0,18.0,28.0,53.0,48.0
11190540.0,30.0,66.0,142.0,21.0,746.0,183.0,153.0,78.0,13.0,27.0,26.0,67.0,56.0,17.0
11190550.0,7.0,62.0,52.0,4.0,251.0,20.0,24.0,18.0,11.0,9.0,7.0,11.0,24.0,15.0
11190560.0,21.0,53.0,32.0,13.0,169.0,21.0,19.0,15.0,9.0,7.0,11.0,11.0,31.0,10.0
11190610.0,5.0,33.0,33.0,4.0,155.0,6.0,20.0,12.0,9.0,7.0,12.0,11.0,20.0,4.0
11190620.0,7.0,38.0,23.0,6.0,196.0,19.0,18.0,18.0,11.0,11.0,11.0,13.0,31.0,6.0
11190630.0,21.0,203.0,104.0,46.0,431.0,22.0,28.0,46.0,24.0,9.0,16.0,24.0,60.0,16.0
11190650.0,21.0,203.0,104.0,46.0,431.0,22.0,28.0,46.0,24.0,9.0,16.0,24.0,60.0,16.0
11190660.0,21.0,203.0,104.0,46.0,431.0,22.0,28.0,46.0,24.0,9.0,16.0,24.0,60.0,16.0
11190670.0,46.0,366.0,171.0,58.0,753.0,30.0,36.0,305.0,40.0,14.0,29.0,40.0,91.0,30.0
11190680.0,21.0,203.0,104.0,46.0,431.0,22.0,28.0,46.0,24.0,9.0,16.0,24.0,60.0,16.0
11190690.0,21.0,203.0,104.0,46.0,431.0,22.0,28.0,46.0,24.0,9.0,16.0,24.0,60.0,16.0
11190700.0,25.0,163.0,67.0,12.0,322.0,8.0,8.0,259.0,16.0,5.0,13.0,16.0,31.0,14.0
11190710.0,25.0,163.0,67.0,12.0,322.0,8.0,8.0,259.0,16.0,5.0,13.0,16.0,31.0,14.0
11190720.0,25.0,163.0,67.0,12.0,322.0,8.0,8.0,259.0,16.0,5.0,13.0,16.0,31.0,14.0
11190730.0,25.0,224.0,125.0,51.0,511.0,34.0,37.0,57.0,29.0,10.0,20.0,36.0,68.0,20.0
11190740.0,17.0,88.0,99.0,26.0,537.0,67.0,64.0,51.0,12.0,10.0,25.0,40.0,52.0,23.0
11190750.0,3.0,38.0,21.0,2.0,63.0,4.0,2.0,10.0,6.0,2.0,1.0,7.0,10.0,4.0
11190760.0,9.0,39.0,50.0,8.0,301.0,45.0,26.0,22.0,10.0,3.0,12.0,12.0,28.0,9.0
11200520.0,6.0,63.0,45.0,9.0,200.0,20.0,25.0,26.0,23.0,13.0,13.0,14.0,17.0,21.0
11200530.0,36.0,203.0,76.0,34.0,316.0,40.0,26.0,24.0,30.0,10.0,19.0,41.0,50.0,31.0
11200540.0,33.0,175.0,63.0,31.0,278.0,31.0,22.0,20.0,26.0,7.0,15.0,37.0,38.0,26.0
11200550.0,33.0,175.0,63.0,31.0,278.0,31.0,22.0,20.0,26.0,7.0,15.0,37.0,38.0,26.0
11200560.0,33.0,175.0,63.0,31.0,278.0,31.0,22.0,20.0,26.0,7.0,15.0,37.0,38.0,26.0
11200630.0,37.0,199.0,64.0,34.0,397.0,41.0,57.0,19.0,29.0,10.0,19.0,35.0,46.0,47.0
11200650.0,37.0,199.0,64.0,34.0,397.0,41.0,57.0,19.0,29.0,10.0,19.0,35.0,46.0,47.0
11200660.0,37.0,199.0,64.0,34.0,397.0,41.0,57.0,19.0,29.0,10.0,19.0,35.0,46.0,47.0
11200670.0,37.0,199.0,64.0,34.0,397.0,41.0,57.0,19.0,29.0,10.0,19.0,35.0,46.0,47.0
11200680.0,4.0,41.0,19.0,9.0,84.0,8.0,7.0,9.0,11.0,2.0,9.0,12.0,15.0,12.0
11200690.0,22.0,88.0,34.0,8.0,140.0,20.0,14.0,23.0,10.0,4.0,7.0,13.0,16.0,15.0
11200700.0,22.0,88.0,34.0,8.0,140.0,20.0,14.0,23.0,10.0,4.0,7.0,13.0,16.0,15.0
11200710.0,6.0,60.0,32.0,13.0,129.0,28.0,12.0,12.0,11.0,6.0,8.0,8.0,12.0,10.0
11200720.0,6.0,76.0,50.0,10.0,210.0,20.0,25.0,27.0,23.0,14.0,14.0,16.0,22.0,21.0
11200730.0,38.0,202.0,65.0,34.0,398.0,41.0,57.0,19.0,29.0,10.0,19.0,38.0,48.0,47.0
11210520.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210540.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210570.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210580.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210610.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210620.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210630.0,4.0,31.0,18.0,8.0,91.0,9.0,3.0,10.0,5.0,0.0,5.0,9.0,12.0,7.0
11210640.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210650.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210660.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210680.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210690.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210710.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210720.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210730.0,74.0,474.0,278.0,81.0,1080.0,176.0,110.0,95.0,64.0,23.0,48.0,63.0,147.0,76.0
11210780.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210790.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
11210800.0,72.0,437.0,199.0,69.0,923.0,239.0,132.0,71.0,47.0,27.0,32.0,62.0,125.0,59.0
